"","Assembly.Accession","Assembly.Level","Assembly.Stats.Contig.N50","Assembly.Stats.Scaffold.N50","Organism.Name","Assembly.Submission.Date","file"
"850","GCA_015110815.1","Scaffold",5470,9927,"Trematocara zebra","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015110815.1/GCA_015110815.1_LFE4.scf_genomic.fna"
"486","GCA_015110875.1","Scaffold",7434,18145,"Neolamprologus sp. 'cygnus' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015110875.1/GCA_015110875.1_LFD4.scf_genomic.fna"
"487","GCA_015110915.1","Scaffold",8220,19069,"Neolamprologus sp. 'eseki' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015110915.1/GCA_015110915.1_LFB9.scf_genomic.fna"
"69","GCA_015110975.1","Scaffold",8262,19609,"Cyphotilapia frontosa","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015110975.1/GCA_015110975.1_LEI6.scf_genomic.fna"
"851","GCA_015111015.1","Scaffold",10521,25241,"Tropheus polli","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111015.1/GCA_015111015.1_LEF8.scf_genomic.fna"
"70","GCA_015111075.1","Scaffold",9441,24119,"Benthochromis sp. 'horii mahale' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111075.1/GCA_015111075.1_LEF2.scf_genomic.fna"
"1020","GCA_015111115.1","Scaffold",7426,13626,"Xenotilapia sp. 'spilopterus north' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111115.1/GCA_015111115.1_LEA3.scf_genomic.fna"
"488","GCA_015111175.1","Scaffold",7442,17227,"Neolamprologus sp. 'caudopunctatus kipili' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111175.1/GCA_015111175.1_LDG3.scf_genomic.fna"
"852","GCA_015111195.1","Scaffold",8554,19089,"Tropheus sp. 'mpimbwe' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111195.1/GCA_015111195.1_LDI5.scf_genomic.fna"
"489","GCA_015111255.1","Scaffold",7009,16984,"Neolamprologus sp. 'furcifer ulwile' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111255.1/GCA_015111255.1_LDF5.scf_genomic.fna"
"71","GCA_015111275.1","Scaffold",6649,16567,"Chalinochromis sp. 'bifrenatus'","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111275.1/GCA_015111275.1_LDE1.scf_genomic.fna"
"653","GCA_015111315.1","Scaffold",6031,18722,"Petrochromis sp. 'kipili brown' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111315.1/GCA_015111315.1_LDE4.scf_genomic.fna"
"654","GCA_015111355.1","Scaffold",7185,21298,"Petrochromis sp. 'giant' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111355.1/GCA_015111355.1_LDC6.scf_genomic.fna"
"490","GCA_015111395.1","Scaffold",6214,16068,"Lepidiolamprologus mimicus","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111395.1/GCA_015111395.1_LDD6.scf_genomic.fna"
"72","GCA_015111415.1","Scaffold",6075,18261,"Benthochromis tricoti","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111415.1/GCA_015111415.1_LDA7.scf_genomic.fna"
"655","GCA_015111435.1","Scaffold",8547,18197,"Petrochromis macrognathus","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111435.1/GCA_015111435.1_LDA4.scf_genomic.fna"
"656","GCA_015111455.1","Scaffold",7050,20831,"Petrochromis sp. 'moshi yellow' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111455.1/GCA_015111455.1_LCF6.scf_genomic.fna"
"853","GCA_015111495.1","Scaffold",9199,21477,"Tropheus sp. 'Kirschfleck'","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111495.1/GCA_015111495.1_LCF1.scf_genomic.fna"
"657","GCA_015111535.1","Scaffold",7649,18769,"Petrochromis sp. 'red' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111535.1/GCA_015111535.1_LCD5.scf_genomic.fna"
"73","GCA_015111595.1","Scaffold",6506,13384,"Bathybates ferox","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111595.1/GCA_015111595.1_LCD6.scf_genomic.fna"
"491","GCA_015111615.1","Scaffold",7544,16381,"Neolamprologus sp. 'gracilis tanzania' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111615.1/GCA_015111615.1_LCC6.scf_genomic.fna"
"492","GCA_015111635.1","Scaffold",6646,15211,"Neolamprologus sp. 'falcicula mahale' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111635.1/GCA_015111635.1_LCB5.scf_genomic.fna"
"493","GCA_015111655.1","Scaffold",7785,18065,"Neolamprologus leloupi","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111655.1/GCA_015111655.1_LCA2.scf_genomic.fna"
"854","GCA_015111745.1","Scaffold",7315,15022,"Telmatochromis dhonti","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111745.1/GCA_015111745.1_LBF7.scf_genomic.fna"
"255","GCA_015111775.1","Scaffold",8849,18888,"Julidochromis sp. 'marlieri south' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111775.1/GCA_015111775.1_LBF3.scf_genomic.fna"
"658","GCA_015111835.1","Scaffold",7668,22297,"Oreochromis malagarasi","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111835.1/GCA_015111835.1_KYH4.scf_genomic.fna"
"256","GCA_015111855.1","Scaffold",6571,15811,"Haplochromis paludinosus","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111855.1/GCA_015111855.1_KYG1.scf_genomic.fna"
"659","GCA_015111895.1","Scaffold",8303,17786,"Orthochromis uvinzae","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111895.1/GCA_015111895.1_KYE7.scf_genomic.fna"
"660","GCA_015111915.1","Scaffold",8359,17499,"Orthochromis malagaraziensis","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111915.1/GCA_015111915.1_KYE2.scf_genomic.fna"
"494","GCA_015111955.1","Scaffold",7682,15101,"Neolamprologus niger","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111955.1/GCA_015111955.1_KYA5.scf_genomic.fna"
"855","GCA_015111975.1","Scaffold",8312,17923,"Telmatochromis bifrenatus","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015111975.1/GCA_015111975.1_KYB8.scf_genomic.fna"
"257","GCA_015112095.1","Scaffold",7755,15826,"Ectodus sp. 'north'","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112095.1/GCA_015112095.1_KHC4.scf_genomic.fna"
"856","GCA_015112415.1","Scaffold",3079,3962,"Trematocara caparti","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112415.1/GCA_015112415.1_LJC8.scf_genomic.fna"
"857","GCA_015112475.1","Scaffold",9625,20533,"Telmatochromis sp. 'dhonti twiyu' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112475.1/GCA_015112475.1_LHC1.scf_genomic.fna"
"661","GCA_015112515.1","Scaffold",10914,24026,"Petrochromis sp. 'polyodon texas' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112515.1/GCA_015112515.1_LHB3.scf_genomic.fna"
"495","GCA_015112555.1","Scaffold",7694,18014,"Neolamprologus petricola","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112555.1/GCA_015112555.1_LGI1.scf_genomic.fna"
"496","GCA_015112615.1","Scaffold",7777,17297,"Ophthalmotilapia sp. 'white cap' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112615.1/GCA_015112615.1_LGH1.scf_genomic.fna"
"74","GCA_015112635.1","Scaffold",7798,17759,"Chalinochromis cyanophleps","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112635.1/GCA_015112635.1_LGG6.scf_genomic.fna"
"497","GCA_015112655.1","Scaffold",6737,16132,"Neolamprologus timidus","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112655.1/GCA_015112655.1_LGE2.scf_genomic.fna"
"662","GCA_015112775.1","Scaffold",6472,19553,"Petrochromis sp. 'macrognathus rainbow' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112775.1/GCA_015112775.1_LGB8.scf_genomic.fna"
"75","GCA_015112995.1","Scaffold",5687,11777,"Astatotilapia flaviijosephi","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015112995.1/GCA_015112995.1_LJD2.scf_genomic.fna"
"498","GCA_015113075.1","Scaffold",5093,10194,"Neolamprologus cancellatus","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015113075.1/GCA_015113075.1_LJC9.scf_genomic.fna"
"858","GCA_015113095.1","Scaffold",9827,22037,"Tangachromis dhanisi","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015113095.1/GCA_015113095.1_LJA8.scf_genomic.fna"
"663","GCA_015113155.1","Scaffold",7573,20442,"Plecodus elaviae","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015113155.1/GCA_015113155.1_LHI6.scf_genomic.fna"
"499","GCA_015113235.1","Scaffold",6343,15380,"Lepidiolamprologus sp. 'meeli kipili' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015113235.1/GCA_015113235.1_LHA5.scf_genomic.fna"
"500","GCA_015113255.1","Scaffold",8310,17260,"Neolamprologus bifasciatus","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015113255.1/GCA_015113255.1_LHF7.scf_genomic.fna"
"859","GCA_015113295.1","Scaffold",6436,19929,"Tropheus sp. 'murago' AB-2019","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015113295.1/GCA_015113295.1_LHD9.scf_genomic.fna"
"1021","GCA_015118035.1","Scaffold",8469,16698,"Xenotilapia tenuidentata","2020-10-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015118035.1/GCA_015118035.1_LHG6.scf_genomic.fna"
"501","GCA_015163995.2","Scaffold",11424,25984154,"Mormyrus lacerda","2022-11-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015163995.2/GCA_015163995.2_ASM1516399v2_genomic.fna"
"76","GCA_015164015.1","Scaffold",23012,12376973,"Brevimyrus niger","2020-11-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015164015.1/GCA_015164015.1_ASM1516401v1_genomic.fna"
"860","GCA_015244755.2","Contig",2624235,NA,"Tenualosa ilisha","2020-11-05","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015244755.2/GCA_015244755.2_TenIli1.0_genomic.fna"
"664","GCA_015343265.1","Chromosome",3269158,15808960,"Pao palembangensis","2020-11-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015343265.1/GCA_015343265.1_ASM1534326v1_genomic.fna"
"665","GCA_015708405.1","Scaffold",15058,40148,"Sarotherodon lohbergeri","2020-12-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015708405.1/GCA_015708405.1_Z05.scf_genomic.fna"
"861","GCA_015708495.1","Scaffold",9100,27401,"Stomatepia pindu","2020-12-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015708495.1/GCA_015708495.1_Z09.scf_genomic.fna"
"666","GCA_015708515.1","Scaffold",8450,30184,"Sarotherodon caroli","2020-12-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015708515.1/GCA_015708515.1_Z17.scf_genomic.fna"
"667","GCA_015708565.1","Scaffold",8858,27798,"Pungu maclareni","2020-12-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015708565.1/GCA_015708565.1_Z03.scf_genomic.fna"
"668","GCA_015708585.1","Scaffold",10360,34697,"Sarotherodon steinbachi","2020-12-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015708585.1/GCA_015708585.1_Z07.scf_genomic.fna"
"77","GCA_015710095.1","Contig",13110246,NA,"Argyrosomus japonicus","2020-12-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015710095.1/GCA_015710095.1_ASM1571009v1_genomic.fna"
"862","GCA_015846415.1","Chromosome",9273388,23627495,"Triplophysa dalaica","2020-12-11","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015846415.1/GCA_015846415.1_ASM1584641v1_genomic.fna"
"78","GCA_016586285.1","Scaffold",17030,134966,"Arothron firmamentum","2020-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016586285.1/GCA_016586285.1_aroFir_1.0_genomic.fna"
"79","GCA_016630915.1","Scaffold",2201294,26698546,"Callionymus lyra","2021-01-13","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016630915.1/GCA_016630915.1_ASM1663091v1_genomic.fna"
"502","GCA_016735935.1","Chromosome",701221,42457289,"Mugilogobius chulae","2021-01-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016735935.1/GCA_016735935.1_ASM1673593v1_genomic.fna"
"669","GCA_016785225.1","Contig",2454095,NA,"Psettodes erumei","2021-02-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016785225.1/GCA_016785225.1_ASM1678522v1_genomic.fna"
"670","GCA_016785235.1","Scaffold",538669,2687910,"Pseudorhombus dupliciocellatus","2021-02-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016785235.1/GCA_016785235.1_ASM1678523v1_genomic.fna"
"671","GCA_016785265.1","Scaffold",37510,178074,"Paraplagusia blochii","2021-02-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016785265.1/GCA_016785265.1_ASM1678526v1_genomic.fna"
"80","GCA_016785285.1","Scaffold",352130,5477449,"Brachirus orientalis","2021-02-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016785285.1/GCA_016785285.1_ASM1678528v1_genomic.fna"
"81","GCA_016785305.1","Scaffold",141808,739841,"Colistium nudipinnis","2021-02-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016785305.1/GCA_016785305.1_ASM1678530v1_genomic.fna"
"82","GCA_016785325.1","Scaffold",14706,66028,"Chascanopsetta lugubris","2021-02-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016785325.1/GCA_016785325.1_ASM1678532v1_genomic.fna"
"863","GCA_016785345.1","Scaffold",103915,373139,"Trinectes maculatus","2021-02-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016785345.1/GCA_016785345.1_ASM1678534v1_genomic.fna"
"258","GCA_016801105.1","Scaffold",30390,35161,"Esox niger","2021-02-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016801105.1/GCA_016801105.1_ASM1680110v1_genomic.fna"
"503","GCA_016801125.1","Scaffold",17942,27972,"Novumbra hubbsi","2021-02-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016801125.1/GCA_016801125.1_ASM1680112v1_genomic.fna"
"864","GCA_016801145.1","Scaffold",7736,8815,"Umbra pygmaea","2021-02-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016801145.1/GCA_016801145.1_ASM1680114v1_genomic.fna"
"259","GCA_016801175.1","Scaffold",19568,33559,"Esox masquinongy","2021-02-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016801175.1/GCA_016801175.1_ASM1680117v1_genomic.fna"
"260","GCA_016801195.1","Scaffold",5062,5078,"Dallia pectoralis","2021-02-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016801195.1/GCA_016801195.1_ASM1680119v1_genomic.fna"
"672","GCA_016801845.1","Chromosome",18418211,22256062,"Polydactylus sextarius","2021-02-04","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016801845.1/GCA_016801845.1_ASM1680184v1_genomic.fna"
"865","GCA_016801885.1","Chromosome",8430381,23928265,"Toxotes chatareus","2021-02-04","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016801885.1/GCA_016801885.1_ASM1680188v1_genomic.fna"
"673","GCA_016801935.1","Chromosome",33203,25101570,"Platichthys stellatus","2021-02-04","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016801935.1/GCA_016801935.1_ASM1680193v1_genomic.fna"
"504","GCA_016806645.1","Scaffold",1538303,1747413,"Ophiodon elongatus","2021-02-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016806645.1/GCA_016806645.1_NWFSC_Oelon_r3.mflye_genomic.fna"
"261","GCA_016859345.1","Chromosome",11851605,26283175,"Istiophorus platypterus","2021-02-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016859345.1/GCA_016859345.1_ASM1685934v1_genomic.fna"
"674","GCA_016861445.1","Contig",3021417,NA,"Oryzias woworae","2021-01-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_016861445.1/GCA_016861445.1_OryWow_0.9_genomic.fna"
"262","GCA_017165825.1","Chromosome",476524,25843955,"Hepsetus odoe","2021-03-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_017165825.1/GCA_017165825.1_ASM1716582v1_genomic.fna"
"675","GCA_017309775.1","Scaffold",36290,11028499,"Paedocypris sp. Pulau Singkep","2021-03-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_017309775.1/GCA_017309775.1_IMCB_Psing_F_1.0_genomic.fna"
"83","GCA_017639675.1","Chromosome",956540,20392628,"Aplochiton taeniatus","2021-03-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_017639675.1/GCA_017639675.1_fAplTae1.pri_genomic.fna"
"505","GCA_017657215.1","Scaffold",31140,455492,"Limnothrissa miodon","2021-04-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_017657215.1/GCA_017657215.1_ASM1765721v1_genomic.fna"
"263","GCA_018136845.1","Chromosome",4571806,32427226,"Heterotis niloticus","2021-04-26","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018136845.1/GCA_018136845.1_ASM1813684v1_genomic.fna"
"866","GCA_018148995.1","Scaffold",28587,1361887,"Sinocyclocheilus maitianheensis","2021-04-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018148995.1/GCA_018148995.1_ASM1814899v1_genomic.fna"
"867","GCA_018155175.1","Scaffold",279196,310307,"Sinocyclocheilus anophthalmus","2021-04-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018155175.1/GCA_018155175.1_ASM1815517v1_genomic.fna"
"264","GCA_018346875.1","Contig",2124,NA,"Hypomesus nipponensis","2021-05-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018346875.1/GCA_018346875.1_ASM1834687v1_genomic.fna"
"265","GCA_018398635.1","Scaffold",71034,30093578,"Cyprinodon brontotheroides","2021-05-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018398635.1/GCA_018398635.1_UCB_Cbro_1.0_genomic.fna"
"266","GCA_018398805.1","Scaffold",1092820,1152470,"Hirundichthys speculiger","2021-05-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018398805.1/GCA_018398805.1_Hirundichthys_speculiger_1.0_genomic.fna"
"267","GCA_018403475.1","Scaffold",20893,1540223,"Haplochromis chilotes","2021-04-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018403475.1/GCA_018403475.1_Hchi_1.0_genomic.fna"
"268","GCA_018403495.1","Scaffold",21828,1207037,"Haplochromis sauvagei","2021-04-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018403495.1/GCA_018403495.1_Hsau_1.0_genomic.fna"
"506","GCA_018403515.1","Scaffold",15647,1164211,"Lithochromis rufus","2021-04-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018403515.1/GCA_018403515.1_Lruf_1.0_genomic.fna"
"269","GCA_018466805.1","Chromosome",8410403,21766359,"Hippocampus abdominalis","2021-05-25","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018466805.1/GCA_018466805.1_ZJU1.0_genomic.fna"
"84","GCA_018555375.2","Chromosome",5018377,56608776,"Anguilla rostrata","2021-05-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018555375.2/GCA_018555375.2_ASM1855537v1.1_genomic.fna"
"676","GCA_018749465.1","Chromosome",1965784,38753313,"Paracanthobrama guichenoti","2021-06-08","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018749465.1/GCA_018749465.1_ASM1874946v1_genomic.fna"
"507","GCA_018985215.1","Scaffold",1208045,4519237,"Larimichthys polyactis","2021-06-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018985215.1/GCA_018985215.1_ZAAS_Lpoly_1.0_genomic.fna"
"85","GCA_018997905.1","Chromosome",13290021,28029688,"Channa argus","2021-06-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_018997905.1/GCA_018997905.1_ASM1899790v1_genomic.fna"
"86","GCA_019059645.1","Contig",1469537,NA,"Caranx melampygus","2021-06-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_019059645.1/GCA_019059645.1_BYU_Cmel_1.0_genomic.fna"
